year,mean_rate,rate_iqr
2020,0.00245731933046189,0.00260843299475754
2021,0.00659093544454627,0.0071678639872381
2022,0.0189065926932007,0.0247994930752461
2023,0.0335471386954196,0.0348826913975224
2024,0.0409608404213492,0.0415188392662401
